"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
340,243,205,115,70,50,202,92,182,632,526,352,694,604,471,406,315,696,412,299,704,278,311,654,422,560,338,215,5
431,298,212,155,76,59,191,127,177,709,592,360,708,644,481,554,287,601,421,327,682,243,297,713,464,607,440,211,5
545,437,183,117,64,49,193,99,173,595,449,302,716,688,477,340,467,745,443,249,647,452,581,588,377,697,203,250,6
434,331,192,120,64,51,181,103,170,730,494,404,582,633,488,343,318,722,529,338,616,311,310,662,376,606,274,278,14
579,471,180,114,76,62,181,99,169,585,567,291,535,516,442,257,300,716,426,322,675,279,282,658,327,609,322,244,18
551,435,185,103,58,49,175,91,165,686,482,333,604,591,489,276,311,707,438,291,634,261,303,678,328,599,287,239,27
482,368,192,163,84,60,205,131,182,728,475,385,368,614,516,283,288,666,464,315,604,261,297,666,354,633,403,278,29
624,479,191,141,84,62,197,114,181,727,460,348,616,658,477,270,296,739,432,395,658,447,495,724,361,613,408,276,34
439,337,191,143,83,64,190,122,172,632,521,381,678,552,386,517,334,672,474,323,639,284,286,669,437,621,371,280,36
433,361,176,74,42,35,177,65,165,643,460,307,536,495,427,302,574,596,386,337,622,288,299,627,352,443,294,270,40
526,423,182,86,48,42,166,78,162,668,500,400,604,559,454,283,337,670,500,313,586,264,319,666,308,564,295,296,41
330,230,210,198,106,75,207,159,183,687,569,340,708,622,488,556,283,707,415,300,670,287,303,695,603,586,426,231,41
498,358,204,124,71,52,198,100,182,647,458,331,550,560,420,326,326,658,491,309,602,275,297,599,391,592,263,271,44
560,394,208,159,84,62,198,129,181,655,514,322,369,613,459,264,341,694,485,353,669,255,286,695,324,612,479,245,52
510,375,199,158,96,72,196,130,177,674,470,387,606,642,413,357,510,701,510,297,636,336,346,701,423,631,456,316,53
284,174,239,221,124,75,241,159,204,651,558,340,738,645,495,512,283,701,442,415,718,246,314,724,502,642,365,245,59
462,388,175,94,48,40,173,84,163,575,451,317,624,571,345,389,297,673,388,440,587,252,293,531,349,557,247,284,59
565,433,191,126,78,60,191,105,175,669,491,322,669,600,470,377,313,680,445,316,624,290,289,663,402,605,392,252,65
470,337,204,192,105,79,195,153,183,733,517,355,660,702,504,307,314,748,484,336,704,602,655,735,520,631,356,263,66
518,440,172,86,51,43,174,76,165,601,471,294,513,575,349,285,303,670,343,284,551,287,297,650,285,566,299,281,66
479,350,201,125,67,51,194,104,176,679,411,328,596,595,503,302,448,692,405,296,611,259,333,659,382,603,296,239,67
559,447,183,87,49,39,187,72,176,663,469,368,561,605,325,271,341,691,431,295,559,280,305,648,329,590,267,294,68
619,464,195,210,112,86,190,176,175,732,497,377,354,636,489,290,338,719,515,390,613,272,292,688,332,638,326,276,70
433,352,180,87,42,34,180,77,165,650,397,350,562,568,385,300,418,680,484,290,566,250,285,647,333,595,262,259,74
481,385,183,157,77,60,189,135,171,649,497,342,720,600,460,512,281,689,454,298,667,305,373,689,454,581,399,255,75
374,311,176,111,57,48,173,101,161,661,476,300,669,618,411,341,276,639,384,287,668,245,325,665,329,567,305,238,76
543,403,197,182,94,68,203,147,181,696,595,285,715,629,480,424,309,728,395,355,724,242,382,707,428,631,422,215,76
452,362,183,118,65,54,176,104,166,641,475,387,712,608,409,401,486,697,505,299,616,317,332,656,347,594,355,267,78
380,279,200,150,87,63,201,123,179,633,582,323,633,550,447,568,316,666,339,336,635,237,281,604,463,560,287,303,83
459,370,182,87,50,39,188,73,174,611,567,270,700,498,429,423,283,620,306,342,664,252,318,596,422,476,317,233,83
179,127,206,121,65,53,180,107,165,666,516,379,652,663,467,377,441,721,510,323,645,298,557,692,399,501,354,263,85
409,343,175,109,53,46,171,97,164,634,530,382,717,528,359,529,278,675,389,278,616,268,303,594,400,571,307,286,86
413,342,177,103,59,47,185,88,170,654,416,317,518,539,464,335,320,674,382,591,601,262,270,558,347,478,326,274,86
355,239,217,146,71,50,206,115,185,743,579,367,724,610,481,418,302,696,462,305,684,250,293,697,469,652,450,282,88
582,443,193,157,91,65,206,123,186,688,465,418,582,601,492,318,347,690,489,387,616,291,321,676,405,588,496,307,89
562,456,180,112,60,47,186,95,171,678,567,321,577,626,479,282,293,719,448,339,660,275,300,678,369,632,358,277,92
544,418,191,118,64,51,184,102,169,675,438,342,603,591,468,397,345,705,463,431,580,272,292,645,399,597,281,275,95
444,334,194,169,100,74,197,138,179,697,550,374,726,635,501,572,399,697,475,319,704,333,287,726,465,564,406,219,101
258,201,189,165,97,71,201,133,182,641,592,356,605,577,481,442,312,688,468,278,688,264,280,702,445,601,389,239,101
593,421,206,183,98,68,212,140,191,686,455,420,602,630,460,309,338,707,495,331,633,275,308,697,410,674,291,299,102
367,278,193,118,59,48,181,102,169,603,528,332,699,528,410,470,287,667,412,347,624,266,277,640,469,557,298,248,104
516,419,180,124,62,48,187,105,172,732,495,322,586,650,479,348,330,709,358,329,655,272,323,687,382,599,400,287,105
592,444,195,148,82,62,194,120,181,712,519,427,584,645,503,327,322,702,522,308,655,289,466,699,570,623,319,235,106
350,277,185,104,52,39,192,88,172,667,497,348,576,572,475,334,321,658,452,480,585,305,282,586,432,511,310,262,108
332,220,221,186,110,78,206,147,185,598,549,330,698,555,472,499,330,702,397,388,648,287,285,688,521,600,401,261,110
391,322,178,107,60,45,196,90,174,686,442,324,542,565,434,311,292,648,426,582,613,271,304,650,365,529,305,264,112
365,296,181,91,51,43,172,82,163,599,430,358,590,550,408,320,632,666,475,299,562,290,333,622,410,544,211,283,114
726,518,205,181,94,67,207,141,188,680,520,371,588,608,462,306,351,698,468,329,620,313,313,656,393,623,392,270,123
457,379,177,93,56,47,177,82,164,635,421,306,550,549,456,342,309,694,425,586,583,289,275,625,375,576,236,265,126
414,324,187,124,64,52,181,107,169,675,485,364,621,580,502,344,320,704,456,283,609,275,323,673,372,588,266,251,128
591,415,209,227,125,87,211,171,194,700,599,410,697,649,438,527,311,739,510,312,659,274,288,698,510,675,466,302,128
675,512,193,198,107,80,196,164,176,747,461,369,329,671,495,263,289,764,453,438,669,500,356,713,360,596,394,278,129
429,353,178,170,91,71,188,143,175,705,581,335,711,647,487,554,271,725,401,315,698,288,355,680,452,568,424,250,134
548,447,179,143,87,67,189,122,171,620,496,377,367,589,475,270,330,679,458,383,618,271,284,600,335,566,492,250,134
628,443,208,198,111,84,193,162,179,708,570,374,615,611,491,357,303,741,517,388,686,257,305,684,426,652,524,256,139
341,264,189,129,66,54,180,112,168,620,571,246,675,580,512,334,306,666,449,363,708,320,360,699,663,500,353,225,143
336,267,185,169,93,69,196,136,181,629,522,321,719,625,431,502,324,718,471,292,635,243,296,638,477,628,373,264,144
529,421,184,140,73,57,187,118,173,667,452,309,430,601,515,314,336,715,442,265,616,286,330,654,355,594,373,275,146
541,398,199,135,77,57,198,107,185,690,539,428,597,596,480,336,321,714,504,288,646,292,287,681,409,633,275,245,147
343,266,189,124,66,51,189,104,174,598,474,293,682,626,424,389,272,699,440,293,690,275,307,646,484,603,330,239,151
385,318,177,118,60,48,180,102,169,635,640,318,695,524,492,338,265,589,317,340,716,249,261,640,396,425,339,536,152
595,459,190,178,93,68,200,146,178,717,433,408,356,635,503,317,458,707,508,350,618,308,334,729,361,617,311,294,153
555,443,183,125,65,49,196,105,174,660,601,348,570,565,444,321,297,659,388,300,637,259,286,627,380,591,384,250,153
513,410,183,138,66,54,177,120,169,641,422,328,549,582,472,327,372,688,473,340,608,267,303,670,382,590,258,251,155
446,379,172,104,63,53,177,90,168,589,422,266,539,472,434,357,624,689,394,295,657,284,701,557,349,326,267,255,161
751,493,223,200,106,75,209,155,188,640,498,360,442,624,481,294,369,742,474,277,679,277,311,705,380,626,514,296,166
224,188,175,74,42,35,175,65,166,547,567,302,624,482,486,258,280,616,336,339,708,253,264,576,407,498,300,211,168
610,467,192,163,91,68,197,128,186,709,566,301,615,654,511,308,321,721,420,313,668,294,334,724,404,648,486,226,173
409,336,178,94,47,37,186,80,173,685,472,397,571,581,468,333,303,669,406,360,602,258,284,665,339,564,317,262,174
215,167,188,100,48,35,201,80,181,630,621,336,645,489,523,311,307,593,329,340,714,259,317,622,534,442,332,234,174
498,392,186,106,60,47,189,89,175,632,483,373,413,563,444,269,305,668,485,263,591,270,302,662,306,573,331,262,181
255,196,190,96,50,40,184,82,170,660,647,347,614,504,530,299,250,635,289,545,715,281,284,640,494,534,397,432,184
529,384,202,202,123,94,191,161,184,693,555,300,722,612,441,470,336,706,320,339,652,262,291,673,483,580,407,235,186
408,312,192,122,70,53,196,101,177,671,594,290,728,582,469,346,293,697,300,369,669,261,286,687,437,570,391,240,187
266,198,197,107,50,35,210,84,186,617,606,216,642,506,535,287,250,636,381,279,735,398,334,671,675,466,322,196,188
218,149,214,117,67,47,208,92,186,711,437,352,694,601,498,296,437,651,339,428,631,281,316,662,373,526,282,278,189
463,347,196,139,78,60,191,118,173,653,432,352,529,543,440,327,326,693,384,344,592,281,283,637,374,577,311,282,192
634,489,190,151,82,64,188,122,180,686,555,379,765,674,498,435,491,732,441,331,693,341,302,712,462,601,471,287,193
474,370,187,119,62,49,183,103,168,622,467,300,695,549,395,406,329,697,325,283,591,265,294,625,379,496,361,264,195
557,437,187,116,63,49,187,96,176,611,482,326,651,578,368,475,303,654,406,471,585,288,296,571,414,544,353,275,197
736,518,208,146,81,55,217,111,191,703,533,421,599,634,503,313,420,740,491,318,654,259,339,700,489,596,356,239,197
723,543,195,172,92,65,208,138,182,619,558,418,548,546,470,310,375,749,473,271,662,242,291,699,365,597,289,269,204
682,503,199,102,53,41,188,85,175,663,547,286,621,599,489,271,358,707,350,324,673,234,340,695,353,585,393,254,204
376,275,200,173,98,78,184,145,174,579,542,278,595,546,360,572,314,682,373,355,648,267,275,604,570,534,365,246,206
440,345,187,142,71,53,194,120,174,656,452,318,614,602,463,363,317,676,480,290,633,237,290,657,406,614,304,259,208
