"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
321,256,184,187,135,113,175,161,170,534,447,258,633,458,526,425,305,654,346,403,687,608,700,466,378,412,307,289,8
522,434,176,153,159,144,162,127,176,673,531,274,576,606,511,312,265,696,358,543,632,275,298,642,359,514,343,308,30
500,393,186,124,57,43,194,104,174,624,474,230,595,521,478,421,390,679,367,382,706,572,645,330,410,304,288,258,48
433,334,190,165,91,71,189,137,176,616,429,254,545,570,494,394,338,693,308,315,715,628,781,520,432,399,255,241,59
563,453,182,122,71,56,188,104,172,677,456,242,308,661,565,241,375,672,285,338,710,573,736,352,365,412,278,234,59
576,396,213,179,106,60,258,122,214,564,473,214,261,439,478,325,549,658,369,376,703,627,780,603,351,346,292,285,75
460,362,186,152,100,72,203,121,183,607,486,199,562,454,534,402,289,693,364,367,716,540,763,451,393,367,342,220,97
439,358,179,113,74,61,178,97,170,675,410,269,565,571,491,372,288,716,359,305,607,259,288,640,388,612,360,272,102
467,365,187,173,96,70,200,143,177,578,495,270,578,484,543,378,605,692,369,300,705,612,831,301,424,534,315,247,107
342,275,182,131,82,57,212,106,180,535,404,238,565,402,481,353,313,653,310,337,669,441,706,285,359,474,253,277,111
514,413,183,125,61,47,188,106,172,595,406,285,585,521,442,407,296,664,327,411,630,271,302,618,411,533,373,269,114
527,427,181,139,82,67,179,122,167,612,432,234,349,544,508,268,296,697,286,320,695,606,683,145,359,438,315,241,123
398,316,184,191,117,102,168,167,167,584,458,239,574,558,569,388,333,707,365,318,710,585,751,306,412,409,299,250,133
442,362,179,162,80,63,186,139,171,583,450,203,590,627,520,391,292,706,383,296,676,611,645,257,443,431,296,217,139
623,441,207,208,104,79,192,164,186,658,478,237,331,581,576,267,318,691,286,357,731,524,719,421,391,383,350,206,139
303,241,184,116,57,47,178,103,164,596,396,256,643,594,528,380,279,628,286,351,669,590,770,411,465,356,252,231,145
586,458,188,138,68,56,180,121,166,597,443,242,311,475,490,321,317,716,315,319,582,271,265,653,331,525,313,245,146
392,324,177,113,52,43,177,101,164,503,463,210,574,493,512,390,320,670,317,312,701,565,716,555,376,365,307,201,157
537,438,180,130,94,68,204,105,181,638,551,268,589,582,501,319,294,685,394,339,637,280,281,626,335,629,374,306,164
309,259,175,83,44,33,198,69,175,524,534,288,739,477,485,423,269,613,316,311,670,221,262,658,409,522,307,238,168
396,325,178,107,57,45,184,94,166,661,427,271,659,547,483,372,280,666,326,499,581,283,281,615,412,478,288,280,178
621,471,193,167,75,55,201,135,181,704,461,264,575,615,536,390,282,757,411,481,670,266,307,647,442,607,320,282,187
647,501,189,191,145,113,188,158,177,677,497,249,339,599,552,309,329,681,302,419,708,519,735,134,377,476,320,297,189
316,266,174,67,38,31,180,59,166,544,570,216,528,445,520,261,249,641,270,405,714,238,288,454,416,319,343,192,190
445,373,175,138,90,79,168,122,166,647,431,221,480,467,484,336,458,676,340,519,611,256,299,334,334,405,339,239,198
524,419,183,116,71,56,185,99,172,689,517,233,564,572,549,386,463,602,284,354,712,488,729,601,410,370,302,218,210
505,416,178,140,93,63,218,113,181,625,401,287,561,544,454,351,289,665,373,401,580,272,303,631,381,574,307,299,227
465,355,192,180,104,84,181,154,170,614,553,285,684,565,480,546,281,698,328,317,665,264,299,652,449,568,360,261,232
423,331,187,184,127,86,217,147,183,654,469,247,602,559,541,454,478,697,327,358,718,566,712,475,423,427,349,248,245
463,359,189,175,94,80,172,154,166,704,493,217,619,652,548,391,414,679,279,334,715,532,762,642,418,397,346,214,246
631,446,207,142,78,53,213,109,189,544,445,261,574,546,530,399,363,647,332,339,710,608,807,351,414,322,304,221,257
604,453,196,151,87,65,197,122,180,668,488,239,574,523,536,381,362,649,288,378,723,625,753,213,414,335,327,210,260
477,375,186,110,57,37,227,85,188,610,439,222,604,566,513,430,319,687,288,309,687,559,710,473,398,341,318,220,275
593,471,184,154,87,70,182,132,170,602,465,236,226,576,531,292,393,710,313,324,708,596,822,163,378,361,330,201,278
558,409,200,136,73,53,200,106,188,601,487,236,572,546,498,387,354,635,350,313,690,566,695,602,431,470,327,231,280
569,455,183,163,84,60,205,134,178,562,509,239,338,390,568,305,319,711,343,349,718,577,625,565,397,430,303,204,286
445,365,179,131,79,62,187,112,171,673,467,271,600,634,571,369,314,680,348,336,714,639,763,231,409,327,342,212,298
661,447,217,118,63,39,236,83,208,655,396,272,596,602,508,416,308,669,307,334,689,597,653,250,440,312,318,275,304
314,244,188,154,80,63,187,133,170,670,535,270,541,586,539,341,438,556,271,332,720,570,707,570,397,393,349,203,312
386,313,181,188,123,95,190,156,177,671,530,223,538,578,510,353,296,711,322,338,681,405,691,357,381,394,310,282,318
829,582,209,130,73,50,213,96,198,614,554,270,696,586,496,400,305,664,427,308,680,274,290,643,464,549,388,251,326
538,426,185,165,127,121,154,151,159,675,419,267,559,548,484,385,306,696,328,409,584,269,285,629,379,553,324,286,339
412,358,169,102,59,46,187,89,169,635,612,276,462,516,534,282,269,640,331,447,719,226,269,657,343,538,402,268,344
472,354,195,119,63,50,182,101,172,615,408,276,243,469,502,290,482,701,275,305,649,525,721,311,334,375,281,247,355
319,276,169,43,26,19,205,37,169,590,602,204,436,434,499,264,249,577,306,453,687,238,294,526,359,441,363,489,356
296,255,170,68,36,31,170,61,162,545,589,224,544,441,556,269,251,626,321,357,726,467,297,512,370,309,362,178,359
540,426,185,181,150,135,162,158,168,619,521,227,666,556,484,423,307,719,362,315,656,210,294,690,401,627,399,315,367
579,431,197,165,141,82,253,124,195,643,474,254,349,537,538,293,333,627,305,322,720,524,753,223,350,486,367,251,368
437,359,178,186,153,94,237,147,184,669,515,258,536,542,555,344,502,680,294,376,714,661,790,521,324,382,333,296,377
500,382,192,193,129,105,179,157,180,676,446,256,629,644,502,412,300,733,450,317,644,464,405,699,437,622,417,326,386
532,392,199,200,137,88,229,137,213,608,489,233,586,549,544,416,314,639,306,341,703,630,760,258,408,344,315,292,388
432,328,193,167,98,56,258,111,220,618,501,205,522,493,521,350,347,705,289,350,713,508,694,437,401,430,309,179,399
550,444,181,128,66,50,191,106,177,611,410,242,559,591,568,419,349,671,285,345,673,535,793,365,429,412,257,238,408
624,488,188,208,147,118,182,181,168,702,474,171,257,640,531,291,585,675,272,385,715,638,809,535,334,416,317,257,409
390,307,186,142,77,60,190,119,175,601,443,221,584,606,585,357,324,690,316,284,707,567,742,134,421,387,275,209,415
549,459,175,105,64,54,171,94,163,625,431,274,550,537,430,326,337,687,366,374,612,277,283,651,377,599,292,289,418
307,242,186,140,74,61,178,124,165,528,454,225,670,452,551,391,287,679,287,352,660,570,706,539,427,336,306,230,423
554,449,181,109,55,45,180,94,169,575,447,235,330,489,528,283,339,631,329,318,678,546,766,481,314,325,307,233,426
570,448,186,146,90,69,192,121,177,629,420,267,554,557,467,404,309,677,313,297,682,477,595,449,422,401,252,288,428
396,315,184,142,77,61,184,121,172,615,620,243,615,523,556,530,251,646,275,339,750,526,664,483,426,359,388,201,431
474,410,169,145,77,62,183,129,165,650,469,206,312,629,569,262,415,661,295,317,702,605,797,536,329,474,312,187,438
437,291,221,167,89,57,230,121,201,594,448,266,649,544,517,414,566,661,348,330,686,530,743,348,515,427,314,258,439
411,343,176,132,77,60,187,117,165,522,462,266,681,553,406,449,283,696,419,265,601,259,285,657,379,560,284,273,448
320,287,164,79,52,45,168,72,160,653,454,265,556,567,583,357,304,657,316,298,655,517,740,479,353,325,300,246,451
530,408,190,146,72,55,192,123,174,700,490,203,547,671,574,347,276,668,312,305,713,590,710,434,400,385,285,177,468
396,337,172,126,64,53,177,112,164,593,420,202,559,599,543,373,401,678,343,272,678,527,752,573,374,471,308,225,475
484,394,180,113,67,54,181,97,171,586,470,262,610,527,504,438,354,646,341,341,697,555,800,571,435,300,321,217,491
316,257,180,105,50,39,188,88,173,571,417,234,555,513,532,356,437,670,323,278,671,544,673,380,367,351,305,238,495
562,430,191,173,140,91,225,130,194,640,433,244,553,574,468,353,306,718,349,355,637,243,282,680,383,614,382,299,529
568,427,195,121,62,42,214,92,192,657,471,261,549,642,531,399,495,635,290,293,659,648,733,497,418,447,353,227,532
524,423,182,152,101,87,170,134,166,675,431,325,592,570,482,386,281,682,439,382,621,286,292,607,417,595,327,287,532
651,514,185,150,91,69,193,126,174,653,483,211,331,587,598,304,388,689,292,342,732,618,801,316,373,371,330,214,534
306,243,184,146,85,59,211,122,176,677,548,213,608,586,560,424,335,664,325,376,686,620,758,226,396,476,349,218,541
538,413,191,206,127,78,238,159,190,594,510,240,609,607,560,393,411,627,298,293,713,635,804,609,448,430,308,241,545
523,433,177,178,129,101,188,153,170,666,431,295,552,543,529,340,284,720,367,404,628,264,290,583,391,577,433,289,569
380,303,183,148,91,71,190,122,178,713,512,270,566,647,571,317,235,668,308,376,723,664,713,604,407,327,363,265,571
236,181,192,196,135,116,170,169,170,698,560,200,614,607,581,454,301,654,318,336,717,583,753,305,482,500,388,225,572
536,417,188,108,54,43,183,93,171,577,440,236,320,568,481,302,327,653,293,311,688,592,679,608,325,367,285,241,574
508,393,189,140,78,58,196,116,176,485,432,247,580,579,461,410,330,676,298,287,671,559,768,78,415,356,272,229,576
508,422,177,131,90,74,177,115,167,656,440,247,514,552,516,343,289,695,329,451,630,252,280,635,379,524,304,269,589
468,345,199,99,56,43,191,81,178,523,460,238,603,484,533,407,282,628,317,310,725,502,681,399,435,351,317,199,592
465,351,194,153,105,60,258,107,209,615,496,285,570,432,504,383,537,691,317,383,698,501,699,645,432,347,350,262,597
720,515,205,124,77,59,193,100,181,515,502,228,284,388,506,288,407,707,346,285,696,573,802,291,363,418,318,215,619
529,399,194,134,73,55,193,111,177,662,517,266,549,500,537,365,398,636,304,343,703,565,689,548,420,313,318,232,620
739,525,206,113,69,44,229,85,195,598,473,255,344,498,516,277,305,703,336,303,710,525,534,613,339,412,300,244,621
513,409,184,160,92,76,177,138,169,565,411,257,589,533,504,437,338,656,281,318,679,629,795,423,383,359,318,241,624
524,418,184,136,75,44,247,102,195,623,425,298,556,447,462,381,300,656,317,308,653,246,292,473,411,281,402,263,627
589,467,185,135,84,72,171,118,167,613,504,213,245,531,563,314,398,635,297,314,699,623,833,346,363,307,296,200,627
425,333,187,142,77,62,181,121,172,630,429,274,554,569,520,380,531,717,355,318,683,543,751,482,429,472,305,250,628
544,419,190,152,82,66,182,129,173,629,541,249,752,573,504,469,329,713,343,308,685,236,336,721,514,580,366,221,632
544,385,207,123,63,45,204,97,186,652,410,263,266,623,516,296,383,683,351,295,687,539,727,561,355,329,321,258,651
468,397,173,117,94,78,176,99,173,608,401,251,541,577,453,340,502,659,314,622,567,272,282,580,401,548,340,255,651
520,421,181,113,60,51,175,100,166,560,505,256,544,548,540,379,280,647,322,354,723,252,485,262,445,332,366,212,651
369,303,178,159,82,66,183,136,170,528,430,260,621,484,493,443,306,672,355,319,689,616,747,285,414,367,312,277,658
500,384,190,132,84,64,194,105,183,674,505,241,605,595,563,398,273,721,311,385,724,564,616,541,453,333,339,200,666
462,388,175,120,61,51,175,106,164,655,411,251,542,539,501,398,280,691,304,644,644,256,278,616,383,498,414,242,683
681,511,195,187,112,86,191,153,179,678,429,263,266,606,548,299,654,700,309,330,703,604,733,614,326,389,288,219,686
456,371,180,176,96,74,188,151,171,553,428,256,560,482,519,436,333,670,308,305,688,584,723,238,399,328,287,255,687
544,442,180,119,72,62,172,106,165,682,394,279,572,536,487,355,321,671,332,335,589,287,285,652,351,555,303,276,704
538,429,184,103,53,42,183,89,168,663,451,265,615,580,543,389,316,672,272,293,681,550,737,197,417,333,303,223,705
482,405,175,110,55,44,182,95,169,522,451,232,580,516,454,431,297,700,330,306,632,280,289,471,400,422,332,246,706
307,247,182,142,95,68,206,112,185,617,467,247,554,578,533,390,376,717,396,445,711,534,736,355,396,453,315,246,710
280,216,190,113,59,43,201,93,179,604,419,264,579,526,501,373,563,628,298,311,672,478,776,521,386,311,290,255,718
498,419,174,103,50,40,180,92,163,542,448,259,621,481,426,405,589,689,341,281,650,405,741,227,366,314,244,250,719
455,369,181,139,138,104,194,108,189,671,570,211,648,554,544,282,263,603,278,399,685,540,620,544,343,536,400,286,728
548,409,196,144,92,59,228,107,196,584,414,243,590,529,541,365,396,668,265,332,671,601,742,166,376,343,212,241,729
385,295,191,128,67,50,197,105,178,629,467,195,588,547,500,333,285,665,294,281,694,579,683,368,402,414,286,192,731
519,371,205,155,92,64,212,123,184,610,487,215,324,474,524,274,596,660,333,331,713,592,729,328,366,385,311,244,747
598,448,196,115,80,47,250,86,196,667,446,255,628,542,496,400,303,689,299,487,627,268,289,617,443,576,316,259,759
502,409,180,156,104,76,200,121,188,670,472,265,638,580,528,362,525,597,285,389,707,484,829,531,406,426,302,278,760
504,414,178,153,114,105,159,135,167,580,462,245,604,542,526,384,408,658,326,346,706,593,762,289,430,380,286,275,766
466,385,177,193,131,85,226,152,186,614,485,230,567,397,525,457,303,651,334,424,710,603,637,274,426,358,324,253,776
444,380,171,154,126,101,183,134,168,555,474,267,585,487,499,314,301,613,285,328,655,491,641,465,303,334,315,305,777
391,309,185,144,74,58,190,121,174,578,484,251,591,574,580,360,374,636,287,341,713,588,783,510,422,332,321,200,793
485,382,186,169,97,72,198,139,178,622,462,245,552,581,521,409,333,673,377,285,693,606,706,516,433,468,308,263,796
311,227,200,119,67,49,199,98,178,656,470,281,566,651,527,334,387,660,343,396,708,625,783,520,398,451,325,236,800
502,374,197,216,128,90,209,162,195,621,531,258,627,495,492,441,366,669,310,353,696,591,752,219,465,373,391,275,821
478,393,178,136,75,62,177,120,165,647,467,214,272,575,545,293,534,629,326,289,701,598,824,244,377,382,303,229,833
529,442,175,96,58,47,180,84,167,581,551,244,604,536,528,354,276,692,326,436,693,304,290,598,350,568,342,224,837
500,428,171,120,100,93,157,107,164,547,414,287,515,544,449,311,294,689,385,484,590,288,288,569,308,562,292,297,843
416,333,183,168,127,82,226,114,215,570,502,232,595,452,540,410,313,678,363,333,717,623,688,240,399,385,331,255,864
435,363,175,88,44,38,173,79,162,612,401,235,519,531,455,333,363,679,331,295,546,289,299,641,372,524,300,254,878
482,384,184,159,80,63,186,138,169,533,450,264,595,555,502,440,341,689,345,314,708,611,776,448,418,493,325,240,888
402,304,194,133,65,51,189,109,179,570,416,269,603,495,489,395,300,660,284,392,677,535,614,411,456,449,323,264,890
237,185,188,85,47,39,178,75,164,631,585,316,504,517,514,293,260,643,312,494,673,252,293,589,394,517,388,423,894
556,416,196,160,92,69,195,127,184,656,467,275,604,605,516,375,564,687,309,319,715,602,704,595,457,371,351,209,907
587,478,180,94,56,43,191,79,174,546,494,278,532,576,446,280,323,693,368,346,624,259,301,681,365,565,308,280,929
398,313,186,122,60,46,192,104,172,675,482,239,623,626,568,373,269,723,339,331,696,502,695,513,418,386,306,232,934
480,392,179,128,85,63,197,107,175,664,410,230,596,577,487,380,325,677,377,329,634,231,295,693,423,545,305,217,965
500,407,180,122,67,57,173,108,165,624,431,238,549,534,492,371,320,704,422,412,599,270,288,618,422,565,352,235,972
445,351,186,143,73,56,190,118,176,558,451,203,578,531,504,440,423,661,340,320,704,547,782,376,435,399,321,207,974
598,460,190,182,101,78,188,151,176,434,474,265,577,380,458,373,481,719,312,314,680,305,630,401,389,337,272,251,986
534,453,173,138,81,65,182,115,175,601,473,280,560,530,419,334,282,659,361,486,608,272,296,606,335,585,378,284,996
491,367,196,151,89,65,199,121,183,683,440,222,570,581,525,409,271,636,311,394,702,556,647,297,429,535,317,258,1018
