"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
545,441,181,115,73,54,196,94,178,625,423,300,338,548,456,307,309,691,467,392,602,274,285,611,395,549,272,239,12
579,466,182,148,83,64,190,126,171,510,444,275,330,467,430,301,327,709,406,448,630,259,294,465,330,315,276,257,26
422,310,199,127,74,58,188,104,178,635,493,403,680,587,338,489,301,669,498,338,571,271,291,624,359,560,333,288,42
334,247,198,105,57,40,208,83,184,587,465,294,533,575,457,339,368,692,390,388,602,291,309,671,398,544,362,263,52
394,297,195,199,113,84,198,159,183,550,505,342,534,570,381,552,314,687,403,415,615,253,283,563,431,526,355,267,56
427,340,184,145,80,51,231,104,205,645,433,296,539,552,462,370,510,705,399,472,572,267,279,662,421,515,318,281,78
547,441,182,138,83,65,187,121,167,423,421,248,358,397,414,292,444,658,326,291,663,521,586,393,303,296,332,246,87
354,308,169,139,80,55,214,107,190,535,446,275,505,467,421,393,335,635,312,368,577,398,282,460,369,360,339,280,93
551,449,180,120,63,50,184,101,174,569,414,341,371,554,444,288,334,635,397,325,597,271,291,470,357,482,306,264,106
597,484,181,154,95,78,179,136,166,596,416,305,356,501,479,273,430,662,415,335,660,265,303,519,283,449,334,241,106
417,316,193,164,96,65,215,136,177,534,418,285,563,518,416,507,331,679,379,457,580,261,300,530,490,494,290,266,112
554,441,184,128,67,55,179,112,168,580,525,223,280,437,466,261,325,681,332,320,679,179,705,500,313,338,320,209,124
341,284,176,126,70,53,195,104,177,556,515,289,598,542,481,421,309,670,399,337,617,266,293,607,467,506,354,262,143
567,461,180,109,64,49,191,92,173,695,479,291,354,585,506,254,366,691,374,415,651,271,295,615,301,435,334,245,178
555,437,186,145,76,61,183,124,172,576,404,282,329,504,440,295,316,650,355,530,596,284,291,595,318,538,344,248,182
376,283,195,172,99,66,221,119,211,559,515,260,576,468,515,495,325,682,333,387,606,313,274,459,432,423,306,252,183
312,223,205,100,50,37,197,82,178,555,470,243,552,499,442,340,284,592,297,338,642,267,295,546,354,443,320,233,185
535,444,176,150,83,68,177,130,168,665,425,255,354,607,547,302,310,677,412,488,614,250,293,641,328,567,364,246,198
348,294,173,155,76,37,304,92,246,574,561,293,519,471,491,440,296,639,342,442,692,236,305,549,444,355,334,267,199
608,499,178,101,60,46,192,86,172,462,422,265,299,462,510,288,336,719,374,295,639,281,291,558,325,343,284,252,199
492,399,181,108,54,44,181,94,169,587,423,290,527,552,454,356,313,632,439,556,609,268,295,609,416,584,417,272,225
528,439,176,154,95,80,174,132,170,638,408,310,376,565,420,289,327,690,442,563,588,263,311,507,327,498,319,295,235
322,253,186,157,80,68,173,142,161,632,555,262,630,562,517,427,343,577,307,348,686,553,735,159,436,333,348,256,246
486,407,175,126,71,54,193,102,180,623,427,287,387,537,431,341,309,672,391,601,596,293,292,643,362,523,383,251,255
384,336,168,99,47,38,182,84,173,525,493,275,466,471,482,409,282,628,293,510,644,264,291,317,355,359,313,232,261
407,363,164,132,73,59,183,108,179,510,513,322,538,459,446,439,305,556,311,426,648,279,290,426,518,535,325,257,283
572,455,184,131,70,52,198,102,188,654,409,310,492,583,419,355,321,672,433,413,564,273,295,612,346,555,336,316,294
480,383,184,154,83,69,177,135,167,570,473,315,367,564,503,309,324,676,439,420,586,294,301,574,368,499,396,259,300
490,389,184,134,80,52,224,92,213,617,441,263,378,535,478,328,446,707,336,280,628,288,304,525,381,398,296,262,306
601,481,183,142,78,65,175,126,164,661,423,332,419,542,467,433,346,691,395,364,568,266,316,594,506,507,347,261,312
501,421,174,98,55,45,179,88,163,655,427,309,264,552,461,286,395,666,325,341,543,283,300,643,328,544,262,257,312
531,439,177,161,91,80,168,147,161,660,443,409,355,570,394,316,305,640,422,642,581,299,303,631,331,413,412,269,312
548,450,178,157,86,58,217,108,213,614,483,247,386,537,492,362,354,641,304,308,668,560,685,611,413,363,283,251,327
504,412,179,159,82,54,222,111,209,549,499,263,474,521,400,381,297,675,374,501,620,305,299,575,383,310,329,302,340
556,446,183,137,62,50,183,119,168,593,461,402,347,507,438,289,291,668,446,339,636,246,281,573,336,490,301,243,355
576,473,178,135,86,70,180,119,166,587,464,312,365,548,447,299,338,700,398,282,602,271,335,369,348,412,358,251,368
544,459,174,147,85,61,205,115,186,596,519,239,392,381,500,332,329,694,361,284,622,267,325,483,389,356,354,221,371
583,470,182,139,85,58,214,101,200,666,474,279,384,550,505,318,349,681,412,315,653,267,310,659,385,499,341,234,393
520,434,176,131,71,56,184,113,169,632,468,335,348,532,414,302,312,695,384,312,611,266,299,463,333,419,475,278,398
564,447,185,144,86,64,195,112,188,333,407,289,386,411,452,371,442,712,376,428,646,346,634,331,378,363,289,257,418
592,487,178,111,68,56,178,98,166,712,444,284,311,617,501,271,494,687,360,375,597,282,474,671,322,558,323,259,432
457,392,171,101,58,48,178,88,168,560,417,273,293,454,428,281,317,672,312,329,568,256,294,515,346,367,266,229,457
435,371,172,130,72,49,214,97,195,614,538,300,677,504,475,414,301,618,301,367,610,269,317,596,452,417,263,238,459
494,410,176,98,51,41,182,83,173,551,473,242,512,514,442,359,305,682,328,290,630,255,289,432,384,396,312,229,459
601,466,189,195,103,72,211,148,193,540,448,231,366,376,487,324,463,723,368,301,654,589,311,282,356,354,277,241,472
556,473,172,128,69,57,179,113,166,526,403,279,315,529,416,326,333,710,378,317,590,291,283,564,351,341,285,275,475
532,459,170,140,84,73,168,128,160,518,411,256,303,471,451,315,362,694,401,321,649,302,355,376,335,447,340,268,506
466,388,176,118,63,52,177,103,168,568,526,249,568,507,474,359,572,677,323,289,683,545,698,557,426,301,325,236,507
418,321,191,120,59,44,195,97,180,538,507,281,582,509,456,556,287,689,390,419,649,258,298,527,421,425,303,258,524
421,343,180,138,70,54,192,114,178,597,442,290,385,448,443,328,304,676,349,559,586,290,282,608,350,523,400,263,530
418,326,188,115,60,46,194,96,176,620,418,292,564,539,455,328,313,670,353,321,653,248,412,510,399,472,317,240,532
593,448,194,130,63,48,193,109,174,519,412,249,354,468,465,275,308,653,327,301,636,260,323,497,320,333,283,216,533
634,488,190,142,70,55,186,119,174,641,477,298,305,571,539,322,330,697,439,336,629,275,321,652,356,506,410,233,542
310,248,183,151,72,47,222,115,192,547,541,262,647,445,519,540,304,714,424,307,692,438,313,558,451,414,356,526,546
435,365,175,150,91,68,194,122,180,633,407,310,412,540,437,367,286,684,314,525,561,285,283,537,392,481,404,272,548
383,300,187,174,87,48,267,111,230,549,522,339,659,529,426,476,318,679,383,290,672,219,323,640,524,507,327,277,558
573,466,180,115,67,56,175,101,167,618,408,263,314,520,471,311,357,682,384,298,639,270,568,254,337,300,265,256,559
646,495,191,146,82,61,196,122,176,640,471,284,371,563,485,303,521,698,433,269,632,262,299,688,326,622,289,253,562
502,400,184,145,75,59,187,124,171,635,416,332,311,581,384,299,322,665,412,358,566,258,296,639,307,581,409,276,565
615,499,180,123,72,56,188,102,176,578,445,310,377,516,444,328,333,718,391,398,628,243,286,561,369,493,448,259,595
418,340,180,129,63,44,210,98,193,578,451,240,494,494,453,364,609,678,347,278,645,251,498,617,391,373,260,253,598
554,441,184,123,66,53,183,104,174,686,412,306,344,622,516,333,347,670,351,316,645,224,704,585,370,336,315,248,605
663,503,193,133,82,65,186,113,173,602,422,252,383,501,473,297,330,646,359,458,618,269,281,656,351,569,408,238,610
245,180,199,184,98,79,181,158,170,645,581,260,636,561,518,443,285,690,437,309,693,234,280,639,409,560,404,194,637
536,440,179,155,86,69,182,134,169,574,433,250,326,537,475,303,320,702,366,333,619,271,290,474,363,416,264,235,669
415,354,172,101,58,47,179,87,170,510,445,306,464,464,443,297,299,672,343,323,647,253,628,347,315,310,261,255,670
499,412,177,131,81,67,178,114,168,578,427,266,345,496,465,314,331,700,328,316,620,286,269,541,326,370,328,243,688
538,438,180,134,71,56,186,117,168,554,419,265,649,546,439,495,316,660,338,275,599,271,285,644,425,556,317,254,696
385,333,169,92,46,37,184,78,173,427,458,257,491,457,489,392,281,611,276,415,675,275,287,385,436,346,315,233,700
561,441,186,135,76,58,195,110,181,604,419,386,306,553,423,309,321,680,463,301,600,255,296,617,337,494,299,266,701
635,501,186,136,82,63,190,114,174,546,427,295,317,517,395,313,383,712,434,326,613,257,288,497,347,378,331,256,725
502,420,175,122,62,51,178,106,168,606,398,259,351,484,427,300,386,657,382,373,529,275,289,625,347,571,303,246,755
277,229,177,140,88,72,178,124,166,479,473,282,506,483,486,406,294,622,372,372,653,300,275,531,443,490,340,247,791
470,381,180,146,88,72,180,128,167,626,558,275,558,519,472,412,289,642,368,378,635,279,288,567,393,508,345,256,799
559,438,187,172,101,84,177,155,163,555,499,276,436,531,365,360,337,663,433,432,558,252,284,597,425,499,349,501,806
653,506,189,109,65,50,192,91,174,659,491,323,293,498,496,288,305,633,406,597,627,272,299,605,378,537,329,237,811
497,389,187,126,68,52,189,105,176,612,437,249,442,506,460,344,489,710,304,359,609,238,341,656,369,476,277,238,818
546,448,179,137,71,58,178,119,169,572,467,315,345,535,488,299,332,639,443,473,667,259,286,509,350,478,307,207,833
566,460,180,118,57,46,183,102,169,594,397,288,324,501,451,321,344,694,329,291,618,267,273,596,357,268,279,265,834
272,226,177,122,76,54,206,97,185,556,504,250,622,481,504,351,307,604,406,445,590,272,299,597,432,424,302,229,836
608,469,190,145,81,55,218,107,198,640,456,323,379,525,484,359,378,691,437,382,645,249,305,655,410,598,482,245,842
522,415,184,166,94,77,178,142,171,643,524,227,295,605,470,294,597,668,360,303,666,593,740,587,356,361,297,243,860
563,466,177,146,92,66,206,106,202,510,448,280,411,475,482,333,376,687,361,329,631,256,275,505,353,343,271,230,865
547,469,171,110,68,49,204,79,203,658,412,275,399,581,492,362,382,706,404,366,618,278,329,544,423,339,278,233,868
487,392,182,99,52,42,183,85,170,458,420,257,327,490,359,299,310,681,351,265,588,249,288,531,317,316,253,255,881
560,469,175,144,95,78,179,126,167,480,512,246,360,463,526,271,346,730,315,315,684,272,352,386,359,463,322,201,881
546,455,176,150,93,54,252,94,232,621,407,308,458,544,463,346,335,688,364,316,624,258,303,575,369,403,329,406,892
373,276,198,167,95,69,201,136,179,560,495,270,610,528,461,523,310,658,366,296,644,241,286,478,496,530,274,242,898
583,457,187,144,88,70,185,124,170,607,461,252,358,559,434,323,348,675,374,308,632,450,297,493,368,398,370,249,924
471,371,186,165,91,66,202,130,186,711,492,290,526,587,524,389,366,677,415,364,653,261,289,674,455,566,354,234,930
543,454,175,130,71,58,179,110,172,631,427,270,356,551,464,293,391,669,327,334,624,261,293,282,340,326,284,272,936
473,391,177,114,61,50,179,100,166,564,544,284,648,466,505,402,297,651,357,316,633,259,285,609,387,412,295,239,936
592,490,177,110,69,56,181,95,169,646,422,312,282,568,484,302,444,689,414,388,641,282,286,671,336,475,276,247,950
571,480,174,118,73,61,176,104,165,543,412,289,342,512,472,303,308,690,431,496,646,238,293,477,322,552,299,242,956
503,428,172,122,74,61,179,101,177,506,421,286,367,449,477,304,541,678,408,284,637,271,489,519,386,282,261,246,967
645,485,195,149,89,68,192,125,174,620,428,277,311,571,467,282,335,708,429,324,621,264,290,551,337,390,294,255,994
632,496,186,135,95,72,194,109,181,669,520,383,388,561,492,290,323,674,480,400,618,282,290,615,338,568,482,251,996
619,492,184,143,71,52,198,120,174,583,442,305,381,544,453,318,368,669,489,311,601,274,289,609,344,582,429,239,1013
294,241,179,138,75,53,207,104,194,530,555,272,508,427,514,393,280,543,276,305,675,246,297,443,476,391,320,225,1017
