"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
477,398,176,109,79,70,164,118,135,654,396,266,238,545,381,272,493,608,435,304,552,253,303,651,290,526,327,278,1
569,450,185,113,59,48,181,103,160,593,408,274,363,520,475,274,319,661,429,357,541,267,288,570,307,594,355,247,6
566,451,184,92,50,39,188,80,168,631,448,301,348,499,446,265,403,630,445,268,635,233,307,621,345,540,326,227,27
479,383,183,115,65,50,189,98,172,652,453,273,558,573,425,336,515,650,435,296,600,280,313,627,375,455,264,242,28
573,445,189,184,124,95,192,152,177,508,469,274,384,497,484,259,370,712,394,301,697,687,273,528,345,370,280,249,42
496,422,172,123,84,74,166,110,163,552,417,337,328,533,370,251,374,653,425,607,641,244,282,528,309,522,294,286,43
433,347,183,160,93,72,189,137,171,572,506,292,511,505,466,388,362,727,389,280,637,241,293,499,376,504,299,235,51
456,398,168,106,54,49,163,100,156,571,509,275,327,506,404,267,302,686,330,289,665,264,489,593,320,323,303,230,56
426,365,171,104,62,52,173,93,164,605,466,276,662,573,455,434,303,675,395,270,662,413,748,468,381,359,241,232,58
212,187,166,93,48,35,200,83,163,535,533,240,594,417,464,344,301,650,520,345,664,265,295,533,366,440,320,226,62
441,367,176,103,58,49,174,92,163,678,462,307,377,573,531,307,306,705,452,471,612,284,291,636,379,572,260,220,73
554,460,177,120,68,57,176,105,166,615,539,278,585,509,411,294,425,682,408,279,640,243,285,659,352,536,268,233,73
246,203,178,92,51,43,176,82,164,560,571,303,527,522,536,311,280,669,340,320,649,306,476,521,343,373,349,223,90
602,480,184,155,79,63,181,133,170,686,523,351,342,587,483,296,427,713,469,390,615,310,317,677,335,567,415,312,109
519,442,172,92,52,44,172,81,165,585,408,328,558,571,421,304,406,670,394,410,577,299,290,647,354,554,230,271,111
528,436,177,121,70,55,189,102,173,549,394,297,546,516,466,365,334,673,455,406,642,274,289,554,325,627,348,241,114
402,331,178,83,50,40,183,73,167,591,531,296,700,533,448,411,288,652,315,292,618,269,290,587,448,495,262,252,115
567,462,180,128,73,58,184,110,171,702,445,314,315,579,467,286,484,686,383,352,615,271,302,655,336,554,305,282,115
582,420,203,176,97,73,196,144,180,570,508,313,370,532,434,304,627,712,365,289,647,271,319,570,325,323,300,277,117
534,421,186,142,83,66,183,123,169,539,409,281,318,531,422,270,479,651,409,656,660,256,279,500,289,570,393,221,124
551,436,185,164,92,70,192,130,184,634,482,231,334,583,422,268,503,678,366,577,666,364,653,389,304,394,319,622,124
421,339,182,126,73,55,192,104,177,648,510,325,535,582,508,363,352,692,515,412,627,277,286,637,394,544,319,251,128
615,469,192,158,92,74,184,135,172,689,524,383,338,612,490,307,330,739,479,336,626,288,298,659,332,593,328,267,148
567,462,180,124,64,52,182,108,168,660,420,289,397,550,492,310,435,660,378,304,575,267,330,602,363,571,294,253,154
468,380,181,149,72,61,175,134,162,640,435,279,319,547,464,281,317,661,441,617,637,241,298,646,308,524,244,256,158
369,279,194,121,73,56,189,99,179,623,561,362,665,608,471,540,329,686,406,433,661,275,309,667,461,591,381,232,168
576,473,178,94,52,41,185,78,175,618,487,391,523,549,395,289,588,692,454,454,610,276,321,625,372,412,278,282,172
426,363,172,117,62,50,183,100,171,628,528,269,393,578,461,292,314,701,410,535,647,257,299,496,355,507,351,233,175
465,382,179,143,80,72,164,130,160,694,510,302,531,597,451,303,497,679,396,326,637,252,503,673,337,576,337,216,182
584,472,181,142,75,60,183,126,165,688,433,311,326,592,457,265,304,710,435,370,620,275,294,655,329,534,339,261,9
519,434,175,120,71,61,170,112,157,555,442,269,285,485,442,256,353,666,363,290,642,262,286,486,321,299,268,232,9
498,416,175,115,67,54,181,103,163,444,407,257,288,436,439,225,330,644,365,272,695,549,689,298,344,491,285,222,18
564,451,183,131,82,67,180,111,172,675,502,417,364,603,435,289,357,736,481,584,603,263,298,655,330,523,257,261,23
330,263,183,126,69,54,186,107,171,502,516,262,510,494,479,445,293,697,352,330,658,270,279,431,384,286,300,238,51
619,435,209,124,73,55,196,99,184,619,549,263,526,564,439,406,334,690,400,317,641,244,296,581,347,508,275,247,72
430,352,179,91,54,45,176,79,167,434,475,265,464,373,407,287,302,665,390,299,636,280,306,504,356,325,321,240,73
269,191,207,141,82,61,196,116,177,615,605,314,572,572,531,426,314,655,513,376,673,328,291,633,438,509,417,195,119
479,373,188,99,55,43,189,84,173,615,463,319,287,599,388,289,321,697,421,271,601,243,296,626,314,556,352,259,152
543,424,188,131,74,59,185,110,174,658,496,389,336,606,453,276,367,725,450,291,588,290,293,679,319,603,408,274,160
383,278,202,143,79,57,203,116,182,600,562,335,641,499,394,563,304,699,411,347,646,244,288,623,434,543,317,257,169
539,414,191,183,113,87,190,156,172,733,472,237,350,647,525,268,378,709,340,420,654,258,331,703,343,604,331,220,169
604,460,192,147,100,77,190,123,175,626,515,407,323,549,442,252,347,678,444,488,640,260,296,649,307,500,402,268,224
497,356,204,124,65,45,208,100,181,655,465,331,553,598,414,440,371,659,411,293,589,285,300,634,385,542,430,255,230
552,420,193,142,82,65,183,117,176,601,516,293,512,543,463,461,347,699,396,290,647,257,279,601,394,530,383,255,236
384,286,197,120,66,49,198,98,179,591,462,250,504,518,479,347,280,688,400,315,672,560,439,492,367,393,260,243,242
695,491,207,139,79,57,205,108,188,520,417,251,370,556,430,289,339,633,373,636,600,328,307,525,336,540,210,245,279
557,405,202,153,94,51,272,104,214,533,553,263,597,455,509,515,324,700,366,393,715,241,279,489,429,476,336,237,286
622,476,192,140,86,69,182,116,177,644,494,319,361,528,453,281,313,669,401,439,612,285,294,615,335,589,355,282,292
533,422,185,160,90,71,185,136,173,601,532,350,380,569,502,282,414,705,476,295,651,292,302,683,333,580,369,241,293
433,335,190,115,54,39,201,95,178,565,483,301,678,531,431,458,298,640,344,338,659,270,293,599,368,469,321,243,325
491,404,178,117,63,51,183,102,169,591,441,314,265,556,396,287,368,680,413,277,618,273,295,681,322,549,327,257,341
658,497,194,162,83,65,188,137,172,550,438,316,356,593,367,288,343,708,366,337,600,269,296,569,314,542,367,273,385
522,424,180,86,48,39,177,75,168,604,436,311,264,487,462,288,553,656,306,314,647,285,672,500,320,289,254,250,394
550,423,191,104,53,44,179,91,167,507,513,277,213,395,456,253,357,676,450,299,665,255,715,538,316,313,265,226,402
400,308,191,130,73,58,186,109,174,461,492,286,525,490,388,459,302,700,367,323,631,273,270,575,366,362,262,251,413
