"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-APC-A :: OVA-Tet","Comp-APC-Fire 750-A :: CD3","Comp-APC-Fire 810-A :: CD4","Comp-Alexa Fluor 488-A :: TCF1","Comp-Alexa Fluor 532-A :: CD8","Comp-Alexa Fluor 700-A :: CD101","Comp-BV421-A :: Tbet","Comp-BV510-A :: CD62L","Comp-BV570-A :: CD44","Comp-BV605-A :: CD45.1","Comp-BV650-A :: CX3CR1","Comp-BV711-A :: CD45.2","Comp-BV785-A :: CD69","Comp-CellTrace Violet-A :: CTV","Comp-PE-A :: Ly108","Comp-PE-Cy7-A :: EOMES","Comp-PE-Dazzle594-A :: PD1","Comp-PerCP-eFluor 710-A :: TIM3","Comp-Zombie NIR-A :: Viability","Time"
283,237,175,152,94,76,182,140,159,378,486,240,587,459,534,411,252,687,311,299,735,580,283,408,449,570,367,248,2
320,258,182,112,74,41,262,95,172,284,573,345,522,442,525,297,251,691,411,492,697,441,293,458,430,580,449,250,2
272,193,206,149,76,57,197,126,173,345,425,267,512,580,497,393,269,701,436,317,687,557,282,620,503,609,471,275,2
363,280,190,166,78,57,200,137,177,278,415,237,541,590,501,302,276,681,438,490,711,495,277,349,354,667,346,198,12
434,358,178,119,81,60,198,100,175,596,443,251,563,531,482,334,281,610,424,346,665,302,298,578,381,589,391,237,13
335,280,175,145,75,60,185,123,172,397,609,367,562,580,564,339,259,711,418,538,697,457,287,276,471,649,351,235,14
335,282,174,153,76,57,194,127,176,333,411,231,511,527,479,361,285,656,349,488,701,423,296,296,352,621,332,205,14
525,432,178,148,91,74,179,129,168,312,418,257,379,450,448,255,283,716,384,304,696,458,305,519,318,509,535,231,17
359,250,210,219,114,78,214,168,190,401,631,311,657,611,578,382,298,724,390,692,749,628,567,672,508,602,407,235,18
477,368,190,129,85,65,192,106,177,330,475,228,376,523,471,227,255,719,370,315,719,641,355,623,353,553,480,212,18
